Name,State,Rank
Williams College,MA,1
Amherst College,MA,2
Swarthmore College,MA,3
Pomona College,CA,4
Wellesley College,MA,4
Bowdoin College,ME,6
Claremont McKenna College,CA,6
United States Naval Academy,MD,6
Carleton College,MN,9
Hamilton College,NY,9
Middlebury College,VT,9
Washington and Lee University,VA,9
Grinnell College,IA,13
Vassar College,NY,13
Colby College,ME,15
Davidson College,NC,15
Haverford College,PA,15
Smith College,MA,15
United State Military Academy,NY,15
Colgate University,NY,20
Wesleyan University,CT,20
Barnard College,NY,22
Bates College,ME,22
University of Richmond,VA,22
Colorado College,CO,25
Harvey Mudd College,CA,25
Macalester College,MN,27
Bryn Mawr College,PA,28
Kenyon College,OH,28
Scripps College,CA,28
Soka University of America,CA,28
United States Airforce Academy,CO,28
Berea College,KY,33
Bucknell College,PA,34
Mount Holyoke College,MA,34
College of the Holy Cross,MA,34
Oberlin College,OH,36
Pitzer College,CA,36
Skidmore College,NY,36
Lafayette College,PA,40
Occidental College,CA,40
Thomas Aquinas College,CA,40
Franklin & Marshall College,PA,43
Denison University,OH,44
Trinity College,CT,44
Union College,NY,44
DePauw University,IN,47
Dickinson College,PA,47
The University of the South,TN,47
Whitman College,WA,47
Connecticut College,CT,51
Centre College,KY,52
Furman University,SC,52
Bard College,NY,54
Gettysburg College,PA,54
Hillsdale College,MI,54
Rhodes College,TN,54
Spelman College,GA,54
St. Lawrence University,NY,54
Wabash College,IN,54
Agnes Scott College,GA,61
Wheaton College,IL,61
Lawrence University,WI,63
Reed Coolege,OR,63
Sarah Lawrence College,NY,63
St. John's College,MD,63
Kalamazoo College,MI,67
St. Olaf College,MN,67
College of Wooster,OH,69
Virginia Military Institute,VA,69
Wofford College,SC,69
Hobart and William Smith Colleges,NY,72
Knox College,IL,72
Muhlenberg College,PA,72
Willamette University,OR,72
Bennington College,VT,76
Cornell College,IA,76
Lewis & Clark College,OR,76
St. John's College,NM,76
Allegheny College,PA,80
Beloit College,WI,80
Illinois Wesleyan University,IL,80
St. Mary's College of Maryland,MD,80
Earlham College,IN,84
Gustavus Adolphus College,MN,84
Juniata College,PA,84
Lake Forest College,IL,84
New College of Florida,FL,84
Transylvania University,KY,84
University of Puget Sound,WA,84
Ursinus College,PA,84
Wheaton College,MA,84
Hendrix College,AR,93
Ohio Wesleyan University,OH,93
Principia College,IL,93
Augustana College,IL,96
College of St. Benedict,MN,96
Saint Mary's College,IN,96
Washington and Jefferson College,PA,96
Washington College,MD,96
College of the Atlantic,ME,101
Austin College,TX,102
Hampden-Sydney College,VA,102
Hanover College,IN,102
Hollins University,VA,102
Luther College,IA,102
Randolph-Macon College,VA,102
Southwestern University,TX,102
St. John's University,MN,102
Whittier College,CA,102
Hope College,MI,112
Drew University,NJ,113
Elizabethtown College,PA,113
Grove City College,PA,113
Millsaps College,MS,113
Stonehill College,MA,113
Susquehanna University,PA,113
Westmont College,CA,113
College of Idaho,ID,120
Goucher College,MD,120
Linfield University,OR,120
Lycoming College,PA,120
Ripon College,WI,120
Saint Michael's College,VT,120
Westminster College,PA,120
Houghton College,NY,127
Monmouth College,IL,127
Presbyterian College,SC,127
Albion College,MI,130
Birmingham-Southern College,AL,130
Coe College,IA,130
Concordia College--Moorhead,MN,130
Roanoke College,VA,130
St. Norbert College,WI,130
Eckerd College,FL,136
Franklin College,IN,136
Meredith College,NC,136
Wells College,NY,136
Central College,IA,140
Covenant College,GA,140
Illinois College,IL,140
Moravian College,PA,140
Randolph College,VA,140
Saint Vincent College,PA,140
Salem College,NC,140
University of Minnesota Morris,MN,140
University of North Caroline Asheville,NC,140
Hartwick College,NY,149
Massachusetts College of Liberal Arts,MA,149
Simpson College,IA,149
Wesleyan College,GA,149
Wittenberg University,OH,153
Emory and Henry College,VA,154
Centenary College,LA,155
Gordon College,MA,155
Guilford College,NC,155
Marlboro College,VT,155
Morehouse College,GA,155
Purchase College--SUNY,NY,155
Westminster College,MO,155
Bryn Athyn College of the New Church,PA,162
Sweet Briar College,NC,162
Wartburg College,IA,162
Doane University,NE,166
Lyon College,AR,166
Oglethorpe University,GA,166
University of Puerto Rico--Cayey,PR,166
University of Virginia--Wise,VA,166
Albright College,PA,171
Allen University,SC,171
Aquinas College,MI,171
Ave Maria University,FL,171
Bennett College,NC,171
Bethany College,WV,171
Bethan Lutheran College,MN,171
Bethune-Cookman University,FL,171
Blackburn College,IL,171
Bloomfield College,NJ,171
Brewton-Parker College,GA,171
Bridgewater College,VA,171
Cheyney University of Pennsylvania,PA,171
Chowan University,NC,171
Dillard University,LA,171
East-West University,IL,171
Emmanuel College,MA,171
Fisk University,TN,171
Fort Lewis College,CO,171
Georgetown College,KY,171
Hampshire College,MA,171
Johnson C. Smith University,NC,171
Judson College,AL,171
The King's College,NY,171
Lane College,TN,171
Louisiana State University--Alexandria,LA,171
Mansfield University of Pennsylvania,PA,171
Marymount California University,CA,171
Marymount Manhattan College,NY,171
Pine Manor College,MA,171
Providence Christian College,CA,171
Rust College,MS,171
Shepher University,WV,171
Souther Virginia University,VA,171
Spring Hill College,AL,171
Sterling College,VT,171
Stillman College,AL,171
Talladega College,AL,171
Tougaloo College,MS,171
University of Maine--Machias,ME,171
University of Pikeville,KY,171
University of Puerto Rico--Ponce,PR,171
University of Science and Arts of Oklahomoa,OK,171
University of South Carolina--Beaufort,SC,171
University of the West,CA,171
University of Wisconsin--Parkside,WI,171
University of Wisconsin--Superior,WI,171
Virginia Union University,VA,171
Virginia Wesleyan University,VA,171
Williams Baptist University,AR,171
Young Harris College,GA,171
American Jewish University,CA,
Thomas More College of Liberal Arts,NH,
